ID,Type,Age,Sex,Type/Breed/Species,Side,PH2_Anterior_GLpe,PH2_Anterior_Bp,PH2_Anterior_Dp,PH2_Anterior_Bd,PH2_Bp_GLpe,PH2_Bd_GLpe
R673,Non-draught,3.5,Female,Chillingham,P,38.86,26.13,28.19,20.54,0.672413793,0.528564076
R672,Non-draught,3.5,Female,Chillingham,P,37.09,25.94,28.19,20.47,0.699379887,0.551900782
R625,Non-draught,,Male,Chillingham,P,41.46,28.46,31.65,22.61,0.686444766,0.545344911
R760,Non-draught,,Male,Chillingham,P,40.61,28.22,30.35,22.89,0.694902733,0.563654272
1953.4.22.6,Non-draught,9.6,Male,Chillingham,P,38.67,26.93,29.81,22.45,0.696405482,0.580553401
1953.4.22.5,Non-draught,8.1,Male,Chillingham,P,38.86,26.49,29.65,20.95,0.681677818,0.539114771
1953.4.22.4,Non-draught,1.5,Female,Chillingham,P,39.02,24.39,27.76,21.32,0.62506407,0.546386468
1953.4.22.9b,Non-draught,,Unknown,Chillingham,P,36.75,24.98,27.36,18.74,0.679727891,0.509931973
1953.4.22.1,Non-draught,,Unknown,Chillingham,P,34.91,24.86,28.63,19.37,0.712116872,0.554855342
1953.4.22.2,Non-draught,,Unknown,Chillingham,P,39.78,25.68,29.47,21.72,0.645550528,0.546003017
1981.984,Non-draught,14,Female,Chillingham,P,38.27,25.65,31.16,21.63,0.670237784,0.565194669
1981.989,Non-draught,10,Female,Chillingham,P,40.55,25.45,29.95,20.16,0.627620222,0.497163995
1981.986,Non-draught,14,Female,Chillingham,P,38.23,25.75,27.93,21.13,0.6735548,0.552707298
1981.985,Non-draught,5,Female,Chillingham,P,36.08,24.15,29.35,20.12,0.669345898,0.557649667
1924.4.28.1,Non-draught,12.35,Male,Chartley,P,46.86,35.09,40.72,28.08,0.748826291,0.599231754
1980.2665,Non-draught,10.47,Male,Chartley,P,44.78,31.77,35.77,23.55,0.709468513,0.525904422
1975.303,Non-draught,,Male,Chartley,P,48.81,35.68,40.34,28.39,0.730997746,0.581643106
2002.118,Non-draught,,Female,Charolais,P,46.24,30.07,36.08,26.04,0.650302768,0.563148789
2002.117,Non-draught,3.75,Castrated Male,Jersey,P,44.13,29.66,32.69,23.52,0.672105144,0.532970768
91.107.M1,Draught,6,Castrated Male,Romanian Grey & Brown,P,49.5,37.9,44.9,31,0.765656566,0.626262626
91.107.M2,Draught,8,Castrated Male,Romanian Grey & Brown,P,46.3,38.2,41.1,30.2,0.825053996,0.652267819
91.107.M3,Draught,10,Castrated Male,Romanian Grey & Brown,P,46.3,37.8,41.5,32.8,0.816414687,0.708423326
91.107.M4,Draught,14,Castrated Male,Romanian Grey & Brown,P,48.4,38.2,44.8,31.1,0.789256198,0.642561983
91.107.M5,Draught,6,Castrated Male,Romanian Grey & Brown,P,44.1,37.2,41,30.4,0.843537415,0.689342404
91.107.M6,Draught,19,Castrated Male,Romanian Grey & Brown,P,46,35.3,38.7,28,0.767391304,0.608695652
91.107.M7,Draught,14,Castrated Male,Romanian Grey & Brown,P,48.2,40.1,43.8,37.5,0.831950207,0.778008299
91.107.M8,Draught,,Castrated Male,Romanian Grey & Brown,P,40.1,32.1,34.9,27.1,0.800498753,0.675810474
91.107.M9,Draught,12,Castrated Male,Romanian Grey & Brown,P,47.6,38.9,45.2,33.7,0.817226891,0.707983193
91.107.M10,Draught,9,Castrated Male,Romanian Grey & Brown,P,49,41.5,44,30.5,0.846938776,0.62244898
91.107.M11,Draught,8,Castrated Male,Romanian Grey & Brown,P,50.9,41.2,45,33.3,0.809430255,0.654223969
91.107.M12,Draught,9,Castrated Male,Romanian Grey & Brown,P,38.7,34.9,37.8,32.1,0.901808786,0.829457364
91.107.M13,Draught,8,Castrated Male,Romanian Grey & Brown,P,39.2,34.1,40,28,0.869897959,0.714285714
91.107.M14,Draught,10,Castrated Male,Romanian Grey & Brown,P,42.4,33.2,37.2,27.1,0.783018868,0.639150943
91.107.M24,Draught,,Castrated Male,Romanian Grey & Brown,P,44.1,38.2,38.6,29.1,0.866213152,0.659863946
91.107.M25,Draught,,Castrated Male,Romanian Grey & Brown,P,47.1,38.1,45.2,38.1,0.808917197,0.808917197
91.107.M15,Non-draught,,Male,Romanian Grey & Brown,P,43.5,33.5,39.6,28.3,0.770114943,0.650574713
91.107.M16,Non-draught,,Male,Romanian Grey & Brown,P,40.1,31.8,34.5,26.7,0.793017456,0.665835411
91.107.M18,Non-draught,,Male,Romanian Grey & Brown,P,41.5,32.1,34.2,27.6,0.773493976,0.665060241
