PCA_Type,MT_e1,MT_f4,MT_a2,MT_b5,MT_a3,MT_b6,MT_ae2,MT_a8,MT_b10,MT_c8,MT_d10,MT_SDDD,MT_c7,MT_d9,MT_ae3,MT_ae7,MT_c2,MT_d5,MT_a1,MT_b4,MT_a7,MT_b9,MT_BpGL,MT_BatfGL,MT_BdGL
Non-draught cattle,0.662428759,0.648042025,0.753477839,0.765850386,0.874906086,0.820043103,0.264639275,0.86163522,0.815648446,0.871994081,0.812075741,1.118249901,1.021230503,1.0849642,0.307287754,0.354419411,0.762536396,0.762495807,1.021043402,1.09025788,1.009098787,1.08973747,0.222777778,0.217407407,0.232175926
Non-draught cattle,0.633950121,0.621280433,0.768427518,0.774142313,0.875743787,0.8417962,0.284398034,0.865444483,0.816141996,0.864060879,0.814132619,1.010526316,1.017515275,1.109539023,0.324116206,0.377189409,0.767199017,0.772236341,1.006436042,1.098737601,1.019144603,1.112277499,0.211578947,0.223026316,0.234736842
Non-draught cattle,0.614368932,0.646736842,0.795739714,0.798671899,0.911430481,0.853273138,0.334111468,0.910213618,0.823017107,0.889519359,0.807465008,1.135365454,1.036561649,1.124783362,0.382687166,0.445352003,0.777648089,0.783579837,1.059029126,1.114105263,1.060676779,1.14644714,0.200039063,0.215742188,0.22796875
Non-draught cattle,0.649373882,0.621876473,0.789976921,0.746298789,0.91068035,0.830400599,0.311242994,0.914154903,0.816642121,0.906524227,0.831001473,1.028055342,1.037101702,1.05912717,0.358798936,0.412047141,0.783382789,0.759421265,1.071556351,1.045733145,1.045831515,1.040825903,0.191465517,0.198448276,0.217801724
Non-draught cattle,0.607484076,0.59222028,0.74452783,0.746456693,0.843428976,0.815834768,0.267354597,0.833683473,0.802845528,0.842086835,0.798780488,1.019630485,0.963155787,1.008985879,0.302869288,0.342410893,0.75203252,0.742677165,0.947850318,1.035839161,0.953544253,1.014120668,0.210266667,0.212355556,0.2308
Non-draught cattle,0.631840796,0.586619406,0.798659966,0.756756757,0.886904762,0.820042343,0.288107203,0.86314265,0.811452514,0.851918899,0.813896648,1.09829568,0.982463466,1.003875969,0.319940476,0.35908142,0.788274707,0.759036145,0.988391376,1.029685423,0.995407098,1.000861326,0.217731481,0.216157407,0.23587963
Non-draught cattle,0.697716564,0.657418112,0.789073118,0.772274409,0.893505694,0.854488189,0.265833107,0.878631961,0.822869275,0.876815981,0.827722172,1.008802817,1.017919888,1.076104101,0.301015697,0.343640197,0.78744224,0.776828921,1.052192823,1.045472062,1.02002811,1.069794953,,,
Non-draught cattle,,,,,,,,,,,,1.115984817,,,,,,,,,,,,0.187685185,0.188472222
Non-draught cattle,0.687798228,0.679415855,0.789833822,0.803931326,0.897279289,0.887149918,0.296676442,0.908120258,0.855214399,0.927788705,0.835097935,1.08947636,1.062761506,1.135300468,0.337034981,0.390730608,0.806940371,0.78502115,1.101567825,1.123435327,1.040231735,1.162648435,0.254453125,0.249492188,0.269804688
Non-draught cattle,0.672361427,0.688101656,0.792785235,0.806157355,0.906329923,0.875,0.29753915,0.89630098,0.833480696,0.901359469,0.800766284,1.137976783,1.017850768,1.037418862,0.340153453,0.379864334,0.797259508,0.774515393,1.076309795,1.088948787,1.012138522,1.079801451,0.21982684,0.233506494,0.262683983
